Celsius, Fahrenheit, Humidity
14.4,57.92,71.923565721953
12.8,55.04,79.811182429167
11.7,53.06,79.654510078888
10.6,51.08,85.680481185637
10.0,50.0,89.181204957654
9.4,48.92,89.741574390528
9.4,48.92,86.141284587185
8.9,48.02,89.091584214285
8.9,48.02,89.091584214285
8.9,48.02,92.815182297916
8.3,46.94,96.659876800572
8.3,46.94,92.782035663943
8.3,46.94,92.782035663943
7.8,46.04,95.988158411757
7.0,44.6,100.0
7.0,44.6,100.0
7.0,44.6,100.0
7.2,44.96,100.0
8.0,46.4,100.0
8.0,46.4,100.0
8.9,48.02,92.815182297916
11.1,51.98,86.313549377715
12.8,55.04,79.811182429167
14.4,57.92,74.8764630203
15.6,60.08,66.579992947826
16.1,60.980000000000004,75.162754589756
16.1,60.980000000000004,72.237265552403
15.6,60.08,74.582928368531
13.9,57.02,80.500571981251
12.8,55.04,79.811182429167
12.2,53.96,83.015085466252
11.7,53.06,82.954048467221
10.6,51.08,85.680481185637
10.0,50.0,89.181204957654
10.0,50.0,89.181204957654
9.4,48.92,89.741574390528
8.9,48.02,92.815182297916
8.9,48.02,96.022450441781
8.9,48.02,96.022450441781
8.9,48.02,96.022450441781
9.0,48.2,93.453994643448
9.4,48.92,92.842632704448
9.4,48.92,92.842632704448
9.4,48.92,92.842632704448
9.0,48.2,100.0
10.0,50.0,93.504015298216
10.0,50.0,89.181204957654
10.0,50.0,93.504015298216
10.0,50.0,92.875368778185
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
10.0,50.0,93.504015298216
11.0,51.8,87.476252351683
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
11.1,51.98,89.269748995158
11.0,51.8,87.476252351683
11.0,51.8,93.553471551667
11.1,51.98,89.269748995158
11.0,51.8,87.476252351683
10.6,51.08,92.285708289197
11.0,51.8,87.476252351683
11.0,51.8,87.476252351683
11.0,51.8,87.476252351683
11.1,51.98,86.313549377715
12.0,53.6,81.879846925107
11.1,51.98,82.880385175758
11.0,51.8,81.750052187031
11.7,53.06,79.654510078888
12.0,53.6,76.519987759453
11.7,53.06,79.654510078888
11.7,53.06,76.993951308353
10.6,51.08,79.496094610696
9.4,48.92,79.870781661168
9.0,48.2,81.486420017859
